,tweets,label
115, eduardorivera01 alcalde de puebla entregó el cheque 950 del programa créditos contigo la beneficiaria fue maría ocotlán quien tiene una papelería en el hospital del norte ,0
116,que la lucha no termine hasta que la dignidad se vuelva costumbre américa latina será toda feminista ,0
117,hasta cuando dejarán de matar a las mujeres en puebla idalia torres sánchez de 28 años fue asesinada y hallada flotando en canal de aguas negras de valsequillo tecamachalco ,0
118,el 96 de las familias con hijos de 0 a 6 años atendidas por cruz roja está en riesgo de pobreza y exclusión social descubre más sobre la crianza en la primera infacia analizada por cruzroja,0
119,implementación de la reforma laboral i tercera etapa,0
120,qué feo fingirse víctima eterna solo por ser mujer,1
121,viva  suena al tipo de gatas mexicanas nalgas prontas con cualquier extranjero solo por interés que halla sólo se las cogen y dejan tiradas mexican en es literal un término derogativo viva jajajaj pendeja,1
122,vive la experiencia mbc  ,0
123,sigue la iniciativa del gobernador mbarbosamx tienesganasdepuebla en el que la cultura el turismo la economía la gastronomía  y el campo de nuestro estado son los protagonistas ,0
124,1cedcoffee jajajaja nmms hombres siendo hombres,0
125,andrealozanoo la mamá de las putas,1
126,brendaespinoza fgrmexico fgcabezadevaca oye escuincla suata eres legisladora o vocera de la fgr deja que se lo chinguen si se le encuentra que es culpable de algo y tu ponte a desquitar tu inmerecido sueldo,0
127,brujasucia hola comunícate a la línea de soporte broxel pay 800 276 9351 o vía chat desde nuestro sitio   en el icono necesitas ayuda con gusto atenderemos tu caso de manera personalizada saludos,0
128,carlieyo    ese juego viene de la infancia era muy popular    buen día,0
129,carolxna ya sabes onvrez criticándola a ella y su esposo porque tenia tipo onlyfans con fotos sexys puro pendejo envidioso jajaja,0
130,chipsfueg0 onvrez,0
131,fridadenis me pasa me cagan los onvrez,0
132,ilusaa les encanta presumir sus miserables vidas haha,1
133,jpdiaz en calssic en algunos servers si está así xd mejor me voy a cambiar a uno sin cola de espera,0
134,kevu soycristianrey lo dejaron en ceros al principio del video lo dice no especificó si él retiró la feria pero asumo que caliente se lo agandalló,0
135,kimberlydiaz pero siempre somos las peores por no entender  y cuando una es la culera ya no les gusta jaja,0
136,nachitaa mido más que tú gorda apestosa no tienes derecho ni de hablar bájale a las tortas que a este paso la diabetes te va a matar,1
137,nayeligalindo y también que te gusta la mala vida cabrona ,1
138,noyolita jajajaj no sé leer  a disfrutar pues,0
139,1111girl de elegancia compleja con notas intensas y fina textura  como el café ,0
140,45resiliencia me gustan tus ojos me gusta tu mirada y tu sonrisa un saludo enorme bella dama,0
141,aaronpinedam no eres más que otro oportunista como imaz y demás pseudolideres estudiantiles que esperan la oportunidad de mamar del presupuesto y enriquecerse con el ,0
142,aaronpinedam tu eres un pinche gato cobarde que cobra de nuestros impuestos con la corrupta de la cdmx ,0
143,abner1023 de ellos dos si me gusta más trey espero que aaron venga porque otra temporada con garoppolo no es opción,0
144,abrahambrecas te gusta la cagada eso explica porque te gusta re por favor no te calientes tanto we,0
145,accidentalsutep la pelea x el aborto es cuando  no se quiera concebir por violacion irresponsabilidad no creo q una mujer quiera pasar x ese proceso alguna vez y si lo hace no creo que quiera volver a pasarlo y esta bien lo unico es q x violacion si debe ser gratuita fuera de es con su plata,1
146,acostanaranjo jtrianat es un niño niña o niñe pregunto por no poder distinguir y saber que quiso ser ese día,0
147,adriangaalvan eso mamonaaaaa te amo bichota,0
148,adrianh15419923 tomsjeffiak por eso la imagen habla de dibujos si fueran niñas de verdad pues ahí si está mal,0
149,adrianrubalcava gracias adrián igualmente que siempre todo te siga saliendo bien eres el mejor alcalde de la cdmx,0
150,agleecl las damas no se lo quitan ni pa las bodas ha de ser bonito,0
151,agusgd10 35p1t14 wey esos dos cabrones se mamanpero tengo fe cabron y que chinguen a su madre las pinches perras con cuernos,1
152,alanvt8 natfriass perdón pero no se deshacen de mi tan fácil,0
153,aldosebastiangm nos apoyan paotmx ucsgcdmx brigadadevigilanciaanimal para atender el reporte gracias,0
154,aldumaria c4jimenez tuimss spfsspc multimediostv correcto,0
155,aleceschi adivino feminazi,1
156,alejandraguayoa siempre hermosa ale en el mejor noticiero de la semana en foro tv que tengas un lindo fin de semana  ,0
157,aleladybird jtrianat laishawilkins partidomorenamx hdtpm tu cabrona la mamá que tiene que ver aquí cerda asquerosa,1
158,alesidenew que una dama sepa de béisbol gusta que cuestione las reglas mercantilistas enamora,0
159,alexvilay elpinchenorte asi de facil,0
160,alexao67036890 kleiverkon yo no soy otaku solo me gusta el anime pero no me considero otaku,0
161,alexciddeleon lharthur la higuera es como el rosal no le gusta otra planta cerca de ella,0
162,alidabelloch aatartaadefresa lodejess jajajajajajajajajajajajaja por favor estoy muerta de risa con todos vosotros que ingenio hay por estos lares,0
163,alja16948978 bueno lo perdono namás porque tiene una que otra canción que me gusta,0
164,allisonort19 que se espera de esas cosas llamadas onvrez,0
165,almightyzafiro no entiendo porque actúas como si no hubieses tirado mierda primero,0
166,alvaritomorales te vas a volver a cambiar de equipo pinché marica de cagada cobarde asqueroso poco hombre jajajaja puto imbecil,0
167,alvarodelgado tatclouthier xochitlgalvez es senadora por dedazo y vidente no es es charlatána y vividora del erario vergüenza de la cámara y méxico,0
168,alwaysforjuki que cuenta tan patética tienes debes de usar a otra artista porqué con la tuya no pasas mas que vergüenza pobrecita y que lastima aún así danna paola y kenia os son superiores a la fracasada de kimberly jaja ya veo que le dedicas tanto tiempo a kos y dp y descuidas a tu mustia,1
169,amaciass1 una puta rica una perita q le encanta la verga y le quiero comer el culo,1
170,amadoelquelolea lillytellez ngomezurrutiamx y los muchachos del barrio le llamaban loca,0
171,amarprasadreddy rahulgandhitn rssorg prime minister modi is 72 years oldpeople of india have started hating himeven in bjp no one respects himeven government officials dont listen to modinow shri amit shah has sidelined modi  amit shah is now the powerful leader of bjp,0
172,amatista96 hola que hermosa,0
173,amerangellorenz que coraje que rabia otra victima mas del espantoso regimen de terror de la 4t descanse en paz,0
174,americafemenil mucha inversión para puro tiktok ese billete se lo inyecte al américa de primera estás niñas puro baile,0
175,amigasnachi movimientonavar no seas  ahora resulta que van a darle instrucciones de ser madre  lleva años siendo madre soltera no necesita que le digan que hacee,1
176,amigojuanh tuviste qué crear una cuenta nueva para escribir eso jajajaa es obvio que quien se esconde detrás de esa cuenta anónima es cobarde pero pues bueno además de eso tambien es imbécil y merecido su bloqueo ,0
177,anadrymj va ser baby buchon ,0
178,anamariavazquez excelente columna cómo siempre ana maría mucho qué reflexionar y mucho por hacer aún por parte del gobierno pára proteger nuestros recursos,0
179,anapordorica pobre señora ah pero cuando eran los privilegiados ni quién los aguantara,0
180,anaydiegogdl si en foto se ve muy hermosa como sería verla en persona ,0
181,andoentachas no sé pinches vatos mecos me cagan,0
182,andreitav92 victorh95960159 lopezobrador la autora de ,0
183,andresg89246378 perdóname mamá por ser tan borracha,0
184,andyapple310 salud a mi si me gusta esa cumple otra forma de beber los vegetales diria bobby flay,0
185,andypan91900334 y la mamá buchona ,0
186,angelicamtzr nomás leer sobre felicidad,0
187,angyspaolis como sufre la hdsptm,1
188,antonioattolini aaaah cómo te gusta hacerte pendejo sabía que estabas bruto pero no sabía que además eras cobarde,0
189,anuarortiz18 juancmandev dannybegoode guacamayahacks las elecciones en cdmx donde la ultra izquierdista de sheinbaum perdió la mitad de su bastión fue hermoso pd entonces quedamos que elcacas es tu amo y señor tienes sueños húmedos con elcacas ,0
190,arana37524709 buenos dias amable seguidora ten un excelente martes saludos cordiales,0
191,aranzagz al parecer me gusta la moda marimacha jajajajajaj,1
192,arauzayuri ta bien loca mija,0
193,arelipaz es muy triste que por culpa de nuestro valemadrismo pasado méxico esté pasando por esto vamos directo a una ruina dictatorial y la raza feliz feliz,0
194,ariess1805 buenos días bendiciones hermosa maria theressa,0
195,aristeguionline a este wey le encanta ser la víctima va a hacer que lo arresten,0
196,arrobadc whaaaat si estás bien bonita de que hablas ,0
197,autosymas me quedo con el clásico,0
198,avieu lopezobrador tu perfil está dedicado a la politiqueria babosa,0
199,aztecanoticias así deberían ir por las feminazis cuando están desmadrando todo y saqueando oxxos bueno dudo mucho que tengan mamá ,1
200,azucenau azu buenas noches que bonita falda y la televisión es una reliquia te acompaño,0
201,barbieguerita wera tu eres la mejor y una gran mujer trabajadora inteligente te gusta el café el pan y por si fuera poco muy guapa,0
202,baroverista a mi ni me gusta el fifa y se me hace buen apodo jajajaj,0
203,bdemontork thedwarf va a sonar súper mamón y arrogante pero las chambas que he tenido en los últimos 15 años no las he solicitadome han llamado,0
204,bec406 quisuri1 a los mueganos multicolores les mama la cagada señor,0
205,belindapop justo en mi infancia ,0
206,bellaswin3 cornudos693 bella y hermosa t ves,0
207,bernar2barranco es lo mínimo que puede opinar,0
208,betsatriste q le quiten la corona a la tonta canada la odiamos,0
209,bettyvaldes25 es que betty no necesita onvrez betty es 100 cool,0
210,bicho1917 rosdero a ti si pero a tu novio que pesa más que yo no suerte,0
211,blancasmadrigal kercinired80 fgcabezadevaca silvanoa son astutos y psicópatasmanipuladores y capases de matar a quien les caiga mal,0
212,blancasmadrigal obrador será muy difícil el despertar de una sociedad tremendamente apática y un sector con la cabeza llena de propaganda barata,0
213,borisrossart1 laramexico3 lopezobrador no lo estás pero la sociedad tampoco ya es tan dejada,0
214,briandi31 idiota no se refería a eso si no que la aguante toda jajajajaja,0
215,cabvirgen virgencoromoto de dios juan 939 esas creencias no dan frutos buenos mateo 310,0
216,camiicaro01 jajaja yo también dale que es miércoless perreo hasta el piso y las manos al cielooooo jajaja,0
217,camilaydanielex cómo para clavarte está verga bien dura que tengo ahorita,1
218,canpdchede si es cierto es niñato y bastante payasa pero me encanta ese culito de macho,1
219,carlosajimnez4 seguro le encanta fornicar pero es una hipócrita,1
220,carloscortesl son hombres o payasos jajajajaja,0
221,carloslopezjone lopezobrador solo recuerdo la infancia estamos bien manden 100,0
222,carlosloret eluniversalmx antes los maiceaban con dinero ,0
223,carlosloret cállate el hocico pinche patán de cuarta,0
224,casichilena lillytellez vulgar y corrientenes publicar tus intimidades como una tal mariaclementemx,1
225,catrinanortena y la genera odio en este país senadora de mierda kulera y hdspm la porquería de la politica verdulera y vendida porrista del pan y lo que resulte,1
226,ccvnte me encanta mucho mi hermosa florecita ,0
227,celealarcon esa es otra canción esta es la canción con yandel de bad bunny pero como no te gusta pos no sabes ,0
228,celsotetec petrogustavo culpa de el por nombrar a personajes como lizcano,0
229,cenjl claudiashein informamos al área operativa para su atención buena noche,0
230,cesarbriones92 te voy a matar pendeja dame dulces,1
231,cfecontigo cfemx disculpen llevan 3 días sin atender mis reportes levantan reportes y los cierran sin que nadie venga a atenderlo llamo constantemente y solo dicen que se está atendiendo,0
232,cgamezponce aun así la basura que dejan y producen es descomunal respeto tu punto no lo comparto,0
233,charliesalaz betovaldes cruzazul javieralarcon pacovilla eeeeeepa no todos somos villamelones,0
234,chelavirus eloswi joargu srbeaucarnea maricelabeba lagarticolor bellapau lupillakim makukins solucionesrico sasihdz alesince2018 charlesvgarcia pavelgaor dannfonseka lidiamarcela luarora monomontano mcopuri succulentoso quiquevil30 zenaandrew kinteroslyn fandelasletras vosgos xandel66933834 no hay dilema chelita se puede repartir en el día tú decides la hora ,0
235,chemanuel era un promo tonta que tenías que comprar un combo y más 1 peso te daban una hamburguesa ,0
236,chiciebomba y yo ando crudo ja ja ja ja ja,0
237,chicocabaratita tudolcefantasia ke hermosa vagina ufff y ese ano una delicia,0
238,chicshion pobre idiota da risa este presidente pero en fin ustedes que les gusta el atole y violar la leyes,0
239,chimmymazapan yo use tu playlist para bañarme y terminé tallando el piso con la cola del perreo tan bueno que pusiste ,0
240,chivas sergiofr30 el más lento contención de todo el mundo no se cómo es jugador un tipo que es lento que manda pases más malos q buenos se lo llevan en la carrera da muchas ventajas pero bueno es lo q hay la cantera más mala de liga la del guadalajaralos más soberbioslos más inútiles,0
241,chocodonte la caricatura que marcó nuestra infancia a base de drama ,0
242,chuchonader así tienes los camiones de basura todos pal perro chgtm  descompuestos ,0
243,citlahm la chairiza a parte de corrupta ignorante y naca es cursi,0
244,claudiashein mejor desmiente esto ,0
245,claudiashein por eso quieres al ejercito en todos lados que cínica e hipócrita eres eres fea por dentro y por fuera,1
246,clouthiermanuel lopezobrador denisedresserg y el que estudia en inglaterra cuacando tenis de cien mil pesos,0
247,clouthiermanuel sorprendente que un idiota ame a los que mataron a su papá sorprendentemente idiota,0
248,cnacgn mil gracias por la atención ahora levanto reporté saludos cordiales,0
249,comip19 caoticadiana drkings2 meymarco no me sangra jajaja es más fácil decir ,0
250,condesatv1 hola cariño bienvenida  tan bella como siempre bendiciones corazon ,0
251,condosese si porque el pago se hace no deberías tener problemas,0
252,constanzagava a las amigas no se les presente ni tú novio ni el que te gusta ,1
253,consueloduval que mal te escuchaste el mencionar que el nombre de horacio v te daba vomito creo que eso no se hace porque que eres una figura pública y una dama se oyó como transfobica no le envíes al universo lo que no quieres para tí esa es mi sugerencia saludos,1
254,coronadooscar julenrementeria es correcto veracruz a sido pobre desde que antes que hernán cortez pisara san juan de ulúa,0
255,cosgayaemilio y los padres  o don huerfanos y el pueblo que quiere si gente matando gente o trabajando dinero facil donde sea despierta pueblo y lucha  los secretos siempre se saben,0
256,cppmexicano hdemauleon jajaja como te gusta demostrar que eres ignorante jajaja que verguensa chairo parasito,0
257,cqnanaya el caso de serbia es muy random desde que se separó de montenegro 2006 se han clasificado a 3 mundiales pero a ninguna eurocopa que en teoría es más fácil clasificarse desde la edición 2016,0
258,crismogarc giogutierrezag porque eres necio aprende que tienes que demostrar cuando cruzas sino quedas como chismosa de esquina,1
259,cronicasciudad uuuuufffffff pinches tacos legendarios llenos de grasa de las taquerías más imperdibles de la ruta de la garnacha,0
260,cserranomx lemusgdl y eso nos vale verga lo que verdaderamente importa es que me mandes los boletos para mañana en puebla puto torañito jr hocicas,0
261,culturacolectiv y la mamá dónde está la educación que se supone le dieron a esa berrinchuda de pena ajena,1
262,damasoadamesho1 pobre juventud mira como se expresan noticia de una persona fallecida como si fuera contando un chiste,0
263,damianaicazar pobre damián ni memoria ni vergüenza tienes todo lo que hoy apoyas antes lo criticabas,0
264,danielaaaaagm a chocolate caliente,0
265,dannyprezsola29 antígenos es la más barata en labin me la hice,0
266,danycorderoo hola daniela espero que te encuentres bien,0
267,davalo6 se puede ser izquierdista pero no imbécil,0
268,dballinas chivas cruzazul clubleonfc fcjuarezoficial nfl zonatudn vix bonita ,0
269,dbarraganm05 porque una cosa si me gusta y la otra no ,0
270,dchilaquill te salvas de relacionarte con onvrez no veo pierde ,0
271,dejesusymaria totalmente de acuerdo,0
272,delatorreg19 lballesterosm ignazspain totalmente de acuerdo la ignorancia en el uso del lenguaje ha sido la cre ,0
273,denisedresserg lopezobrador jajaja es lo más que le pueden criticar unos pinches lentes el señor puede comprar con su dinero lo que el quiera la austeridad es con el presupuesto se hacen bien pendejos de que no entienden pero este tipo de noticia va para los molleras sumidas,0
274,denisedresserg a mendiga vieja escoria que eres denisedresserg,1
275,denisedresserg payasa clasista racista solapadora de corruptos neoliberal y estúpida ya te lo escupieron a la cara y sigues sin darte cuenta animal tan p3nd3jo,1
276,denyanine yo le meto su salver por su orificio para que aprenda a cuidar a una dama el hds m,1
277,destinybulletn tryhards de mierda,0
278,detvymas detlnovelas1 nubiaarizaga venusdenko youlguion7 telenovelo horadlanovela soyelrogermx bryanl152 mega naco pero le queda bien porque era la naca del grupo,0
279,dianasolis3006 como q te caigo gorda reina ,0
280,diannquiroz vamos a festejar yo hoy cumplo 9 meses de estar soltera ,0
281,diazmanuel xaviervelasc0 te copio el texto lo edito y lo hago mío  en facebook pero no te angusties es una una cuenta provisional la mía está bloqueada porque puse jtos en una foto del américa,0
282,didierooo not yet pero ya no quiero ser asalariadaquiero ser independiente ,0
283,diegordz101217 fandiablo2 medranoazteca conozco un chingo de raza que llega cruda al trabajo y saca más a flote el jale que los que andan de monjitas en condiciones no digo que lo hagan pero también por una vez que se salgan en la temporada no pasa nada,0
284,diegoarmamedina no quieras desviar la atención del fuera manos guangas,0
285,diputadospan accionnacional accionnacional que son unas vil mierdas rateros racistas chingan al mexicano son el cáncer del país,0
286,doctorbluebox a italiaxq esta mi hija,0
287,donajicantu es cuestión de onvrez h3t3r0 yo tampoco lo entiendo,0
288,donizquierdo el fiscal babosa ya lo exculpó que este si estaba en servicio,0
289,donvocero eso le gusta a losnde guerrero ni como ayudarlos,0
290,dramanieves feliz no cumpleaños damita la amo montones,0
291,edaliqi yo creo k si lo va a leer ,0
292,edelamadrid baja pobre tipo y así quieres contender para candidato están mas perdidos nosotros pueblo queremos mas presencia y patrullajes de disuasión no que nos dejen solos a merced del crimen en complicidad con el prian quien fue quien permitió la expansión de la delincuencia,0
293,edelamadrid pues espero que te pongas las pilas y tengas buenas propuestas por que tal parece que todos los pinches partidos le están dejando todo el pastel a morenasco ,0
294,edithtidi pïnches estafadores descarados chasput4m,0
295,edwinalondrasw noviasdecompras hermosa ,0
296,egomezislas lopezobrador jueguen limpio hijos de su puta madre ,0
297,elchamuco el gobierno de la gente tonta no se puede superar porque hay mucha y su voz cuenta tanto como la nuestra,0
298,eluniversalmx como están las cosas hasta de la muerte hay que dudar,0
299,eluniversalmx esa plataforma está muerta y nadie se lo ha dicho ,0
300,elamadecasa1 sedenamx lopezobrador están tratando de quitarle importancia enmanos de quien estamos que miedo,0
